"pert_iname"	"cell_id"	"DILIConcern"	"num_doses"	"min_dose"	"max_dose"	"num_times"	"min_time"	"max_time"
"acitretin"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"acitretin"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acitretin"	"FIBRNPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"amiodarone"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"SW480"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"amiodarone"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"amiodarone"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"amiodarone"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"amiodarone"	"FIBRNPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"amiodarone"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"danazol"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"danazol"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"danazol"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"danazol"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"danazol"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"danazol"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"danazol"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"danazol"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"danazol"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"danazol"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"danazol"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"danazol"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"danazol"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"danazol"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"dantrolene"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"dantrolene"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"dantrolene"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"dantrolene"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"dantrolene"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"dantrolene"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"dantrolene"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"dantrolene"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"dantrolene"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"dantrolene"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"dantrolene"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"dantrolene"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"dantrolene"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"felbamate"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"felbamate"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"felbamate"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"felbamate"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"felbamate"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"felbamate"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"felbamate"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"felbamate"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"felbamate"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"felbamate"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"felbamate"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"felbamate"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"felbamate"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"lapatinib"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"lapatinib"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"lapatinib"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"lapatinib"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"lapatinib"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"lapatinib"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"lapatinib"	"MCF7"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"lapatinib"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"lapatinib"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"lapatinib"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"lapatinib"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"lapatinib"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"lapatinib"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"lapatinib"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"lapatinib"	"BT20"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"lapatinib"	"HS578T"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"lapatinib"	"MCF10A"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"lapatinib"	"MDAMB231"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"lapatinib"	"SKBR3"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"leflunomide"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"leflunomide"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"leflunomide"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"leflunomide"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"leflunomide"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"leflunomide"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"leflunomide"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"leflunomide"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"leflunomide"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"leflunomide"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"leflunomide"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"leflunomide"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"leflunomide"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"mexiletine"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"mexiletine"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"mexiletine"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"mexiletine"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"mexiletine"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"mexiletine"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"mexiletine"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"mexiletine"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"mexiletine"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"mexiletine"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"mexiletine"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"mexiletine"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"mexiletine"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"pazopanib"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"pazopanib"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"pazopanib"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"pazopanib"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"pazopanib"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"pazopanib"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"pazopanib"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"pazopanib"	"MCF7"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"pazopanib"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"pazopanib"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"pazopanib"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"pazopanib"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"pazopanib"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"pazopanib"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"pazopanib"	"BT20"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"pazopanib"	"HS578T"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"pazopanib"	"MCF10A"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"pazopanib"	"MDAMB231"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"pazopanib"	"SKBR3"	"Most-DILI-Concern"	"4"	"0.08"	"10"	"2"	"6"	"24"
"sunitinib"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"sunitinib"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"sunitinib"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"sunitinib"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"sunitinib"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"sunitinib"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"sunitinib"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"sunitinib"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"sunitinib"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"sunitinib"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"sunitinib"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"sunitinib"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"sunitinib"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"sunitinib"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acarbose"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acarbose"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acarbose"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acarbose"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acarbose"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acarbose"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acarbose"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acarbose"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"acarbose"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acarbose"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acarbose"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"acarbose"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"acarbose"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"albendazole"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"albendazole"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"albendazole"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"albendazole"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"albendazole"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"albendazole"	"MCF7"	"Most-DILI-Concern"	"4"	"0.3704"	"10"	"2"	"6"	"24"
"albendazole"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"albendazole"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"albendazole"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"albendazole"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"albendazole"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"albendazole"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"albendazole"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"bicalutamide"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"bicalutamide"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"bicalutamide"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"bicalutamide"	"VCAP"	"Most-DILI-Concern"	"3"	"0.4"	"10"	"2"	"6"	"24"
"bicalutamide"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"bicalutamide"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"bicalutamide"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"bicalutamide"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"bicalutamide"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"bicalutamide"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"bicalutamide"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"bicalutamide"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"bicalutamide"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"carbamazepine"	"A375"	"Most-DILI-Concern"	"2"	"10"	"96"	"2"	"6"	"24"
"carbamazepine"	"HA1E"	"Most-DILI-Concern"	"2"	"10"	"96"	"2"	"6"	"24"
"carbamazepine"	"HCC515"	"Most-DILI-Concern"	"2"	"10"	"96"	"2"	"6"	"24"
"carbamazepine"	"HEPG2"	"Most-DILI-Concern"	"2"	"10"	"96"	"1"	"6"	"6"
"carbamazepine"	"HT29"	"Most-DILI-Concern"	"2"	"10"	"96"	"2"	"6"	"24"
"carbamazepine"	"MCF7"	"Most-DILI-Concern"	"2"	"10"	"96"	"2"	"6"	"24"
"carbamazepine"	"PC3"	"Most-DILI-Concern"	"2"	"10"	"96"	"2"	"6"	"24"
"carbamazepine"	"VCAP"	"Most-DILI-Concern"	"2"	"10"	"96"	"2"	"6"	"24"
"carbamazepine"	"A549"	"Most-DILI-Concern"	"2"	"10"	"96"	"2"	"6"	"24"
"carbamazepine"	"SW480"	"Most-DILI-Concern"	"1"	"96"	"96"	"1"	"6"	"6"
"carbamazepine"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"carbamazepine"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"carbamazepine"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"carbamazepine"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"carbamazepine"	"FIBRNPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"carbamazepine"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clomipramine"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clomipramine"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clomipramine"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clomipramine"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clomipramine"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"clomipramine"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clomipramine"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"clomipramine"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"clomipramine"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"clomipramine"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clomipramine"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"clomipramine"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"clomipramine"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"clozapine"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clozapine"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clozapine"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clozapine"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clozapine"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"clozapine"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clozapine"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"clozapine"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"clozapine"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"clozapine"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clozapine"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clozapine"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"clozapine"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"clozapine"	"FIBRNPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"clozapine"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"diclofenac"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"diclofenac"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"diclofenac"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"diclofenac"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"diclofenac"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"diclofenac"	"FIBRNPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diclofenac"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diflunisal"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"diflunisal"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diflunisal"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diflunisal"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"diflunisal"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"diflunisal"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diflunisal"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diflunisal"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diflunisal"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"diflunisal"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
