Disease term	Disease ID (UMLS)	Gene symbol	Gene ID (Entrez)	DisGeNET	GUILDify
Biliary cirrhosis	C0023892	TNF	7124	0	1
Biliary cirrhosis	C0023892	TNFRSF1A	7132	1	1
Biliary cirrhosis	C0023892	TUB	7275	0	1
Biliary cirrhosis	C0023892	TYK2	7297	1	1
Biliary cirrhosis	C0023892	PAX8	7849	0	1
Biliary cirrhosis	C0023892	NSMAF	8439	0	1
Biliary cirrhosis	C0023892	TNFRSF25	8718	0	1
Biliary cirrhosis	C0023892	ABCG2	9429	1	1
Biliary cirrhosis	C0023892	NSA2	10412	1	1
Biliary cirrhosis	C0023892	CLEC16A	23274	1	0
Biliary cirrhosis	C0023892	CLIP3	25999	0	1
Biliary cirrhosis	C0023892	ACKR4	51554	0	1
Biliary cirrhosis	C0023892	ERAP1	51752	0	1
Biliary cirrhosis	C0023892	SLC30A10	55532	0	1
Biliary cirrhosis	C0023892	SLC26A6	65010	0	1
Biliary cirrhosis	C0023892	DHDDS	79947	0	1
Biliary cirrhosis	C0023892	DENND1B	163486	1	0
Biliary cirrhosis	C0023892	CCR2	729230	0	1
Fatty Liver, Alcoholic	C0015696	CYP2E1	1571	1	1
Fatty Liver, Alcoholic	C0015696	PPARA	5465	1	1
Fatty Liver, Alcoholic	C0015696	SOD1	6647	1	1
Fatty Liver, Alcoholic	C0015696	ABCA5	23461	0	1
Hepatitis, Drug-Induced	C1262760	NAT2	10	1	1
Hepatitis, Drug-Induced	C1262760	ACYP2	98	0	1
Hepatitis, Drug-Induced	C1262760	ADAM8	101	1	1
Hepatitis, Drug-Induced	C1262760	ADCYAP1	116	0	1
Hepatitis, Drug-Induced	C1262760	ADCYAP1R1	117	0	1
Hepatitis, Drug-Induced	C1262760	AHR	196	1	1
Hepatitis, Drug-Induced	C1262760	ALB	213	1	1
Hepatitis, Drug-Induced	C1262760	ALDOB	229	1	1
Hepatitis, Drug-Induced	C1262760	AMBP	259	1	1
Hepatitis, Drug-Induced	C1262760	ANXA2	302	1	1
Hepatitis, Drug-Induced	C1262760	APOF	319	0	1
Hepatitis, Drug-Induced	C1262760	APOA1	335	1	1
Hepatitis, Drug-Induced	C1262760	APOC1	341	0	1
Hepatitis, Drug-Induced	C1262760	APOE	348	1	1
Hepatitis, Drug-Induced	C1262760	APOH	350	1	1
Hepatitis, Drug-Induced	C1262760	ARG1	383	1	1
Hepatitis, Drug-Induced	C1262760	ARNT	405	1	1
Hepatitis, Drug-Induced	C1262760	BAX	581	1	1
Hepatitis, Drug-Induced	C1262760	BDH1	622	1	0
Hepatitis, Drug-Induced	C1262760	CXCR5	643	0	1
Hepatitis, Drug-Induced	C1262760	BST1	683	0	1
Hepatitis, Drug-Induced	C1262760	BTD	686	1	0
Hepatitis, Drug-Induced	C1262760	SERPING1	710	1	1
Hepatitis, Drug-Induced	C1262760	C1R	715	0	1
Hepatitis, Drug-Induced	C1262760	C3	718	1	1
Hepatitis, Drug-Induced	C1262760	CASP1	834	0	1
Hepatitis, Drug-Induced	C1262760	CASP4	837	0	1
Hepatitis, Drug-Induced	C1262760	CAT	847	1	1
Hepatitis, Drug-Induced	C1262760	SERPINA6	866	1	0
Hepatitis, Drug-Induced	C1262760	CDC25B	994	1	1
Hepatitis, Drug-Induced	C1262760	CDS1	1040	1	1
Hepatitis, Drug-Induced	C1262760	CHRM3	1131	1	0
Hepatitis, Drug-Induced	C1262760	CLU	1191	1	1
Hepatitis, Drug-Induced	C1262760	CMA1	1215	0	1
Hepatitis, Drug-Induced	C1262760	CCR1	1230	0	1
Hepatitis, Drug-Induced	C1262760	CCR4	1233	0	1
Hepatitis, Drug-Induced	C1262760	CCR8	1237	0	1
Hepatitis, Drug-Induced	C1262760	ABCC2	1244	1	1
Hepatitis, Drug-Induced	C1262760	COL3A1	1281	1	1
Hepatitis, Drug-Induced	C1262760	CP	1356	1	1
Hepatitis, Drug-Induced	C1262760	CPB2	1361	0	1
Hepatitis, Drug-Induced	C1262760	CPN1	1369	0	1
Hepatitis, Drug-Induced	C1262760	CSF3	1440	1	0
Hepatitis, Drug-Induced	C1262760	CTNNB1	1499	1	1
Hepatitis, Drug-Induced	C1262760	CTSE	1510	1	1
Hepatitis, Drug-Induced	C1262760	CYP1A2	1544	1	0
Hepatitis, Drug-Induced	C1262760	CYP2A6	1548	1	0
Hepatitis, Drug-Induced	C1262760	CYP2B6	1555	1	0
Hepatitis, Drug-Induced	C1262760	CYP2C19	1557	1	0
Hepatitis, Drug-Induced	C1262760	CYP2C9	1559	1	1
Hepatitis, Drug-Induced	C1262760	CYP2E1	1571	1	1
Hepatitis, Drug-Induced	C1262760	CYP3A4	1576	1	1
Hepatitis, Drug-Induced	C1262760	CYP3A5	1577	0	1
Hepatitis, Drug-Induced	C1262760	GADD45A	1647	1	1
Hepatitis, Drug-Induced	C1262760	DHFR	1719	1	1
Hepatitis, Drug-Induced	C1262760	DSC2	1824	1	1
Hepatitis, Drug-Induced	C1262760	ENO1	2023	1	1
Hepatitis, Drug-Induced	C1262760	EPHX1	2052	1	1
Hepatitis, Drug-Induced	C1262760	FASN	2194	1	1
Hepatitis, Drug-Induced	C1262760	FCGRT	2217	0	1
Hepatitis, Drug-Induced	C1262760	FGA	2243	1	1
Hepatitis, Drug-Induced	C1262760	FLT1	2321	1	1
Hepatitis, Drug-Induced	C1262760	FMO3	2328	1	1
Hepatitis, Drug-Induced	C1262760	GAST	2520	0	1
Hepatitis, Drug-Induced	C1262760	GABRA4	2557	0	1
Hepatitis, Drug-Induced	C1262760	GC	2638	1	1
Hepatitis, Drug-Induced	C1262760	GCLC	2729	1	1
Hepatitis, Drug-Induced	C1262760	GOT1	2805	1	1
Hepatitis, Drug-Induced	C1262760	GPT	2875	1	1
Hepatitis, Drug-Induced	C1262760	CXCL1	2919	1	1
Hepatitis, Drug-Induced	C1262760	GSN	2934	1	1
Hepatitis, Drug-Induced	C1262760	GSR	2936	1	1
Hepatitis, Drug-Induced	C1262760	GSTM1	2944	1	1
Hepatitis, Drug-Induced	C1262760	GSTM2	2946	1	1
Hepatitis, Drug-Induced	C1262760	GSTM3	2947	1	1
Hepatitis, Drug-Induced	C1262760	GSTM4	2948	1	1
Hepatitis, Drug-Induced	C1262760	GSTM5	2949	0	1
Hepatitis, Drug-Induced	C1262760	GSTP1	2950	1	1
Hepatitis, Drug-Induced	C1262760	GSTT1	2952	1	1
Hepatitis, Drug-Induced	C1262760	HADHA	3030	1	1
Hepatitis, Drug-Induced	C1262760	HLA-A	3105	1	1
Hepatitis, Drug-Induced	C1262760	HLA-B	3106	1	1
Hepatitis, Drug-Induced	C1262760	HLA-DQB1	3119	1	0
Hepatitis, Drug-Induced	C1262760	HLA-DRB1	3123	1	1
Hepatitis, Drug-Induced	C1262760	HMGB1	3146	1	1
Hepatitis, Drug-Induced	C1262760	HMOX1	3162	1	1
Hepatitis, Drug-Induced	C1262760	HPD	3242	1	1
Hepatitis, Drug-Induced	C1262760	HPX	3263	1	1
Hepatitis, Drug-Induced	C1262760	HRH2	3274	1	0
Hepatitis, Drug-Induced	C1262760	CFI	3426	0	1
Hepatitis, Drug-Induced	C1262760	IFNA1	3439	0	1
Hepatitis, Drug-Induced	C1262760	IFNA2	3440	1	1
Hepatitis, Drug-Induced	C1262760	IFNA5	3442	0	1
Hepatitis, Drug-Induced	C1262760	IFNA8	3445	0	1
Hepatitis, Drug-Induced	C1262760	IFNAR2	3455	0	1
Hepatitis, Drug-Induced	C1262760	IFNB1	3456	0	1
Hepatitis, Drug-Induced	C1262760	IFNG	3458	1	0
Hepatitis, Drug-Induced	C1262760	IGF1	3479	1	1
Hepatitis, Drug-Induced	C1262760	IGFBP2	3485	0	1
Hepatitis, Drug-Induced	C1262760	IL1A	3552	1	1
Hepatitis, Drug-Induced	C1262760	IL1B	3553	1	1
Hepatitis, Drug-Induced	C1262760	IL4	3565	1	1
Hepatitis, Drug-Induced	C1262760	IL6	3569	1	1
Hepatitis, Drug-Induced	C1262760	IL6R	3570	0	1
Hepatitis, Drug-Induced	C1262760	IL11	3589	1	1
Hepatitis, Drug-Induced	C1262760	IL17A	3605	1	1
Hepatitis, Drug-Induced	C1262760	IL18	3606	1	1
Hepatitis, Drug-Induced	C1262760	CXCL10	3627	1	1
Hepatitis, Drug-Induced	C1262760	ITPR1	3708	1	1
Hepatitis, Drug-Induced	C1262760	KNG1	3827	1	1
Hepatitis, Drug-Induced	C1262760	KRT18	3875	1	1
Hepatitis, Drug-Induced	C1262760	LBP	3929	1	1
Hepatitis, Drug-Induced	C1262760	LCAT	3931	0	1
Hepatitis, Drug-Induced	C1262760	LCN2	3934	1	0
Hepatitis, Drug-Induced	C1262760	LGALS3	3958	1	1
Hepatitis, Drug-Induced	C1262760	FADS1	3992	1	1
Hepatitis, Drug-Induced	C1262760	PRICKLE3	4007	0	1
Hepatitis, Drug-Induced	C1262760	LTF	4057	1	1
Hepatitis, Drug-Induced	C1262760	DNAJB9	4189	1	1
Hepatitis, Drug-Induced	C1262760	MDH1	4190	1	1
Hepatitis, Drug-Induced	C1262760	MAP3K5	4217	1	1
Hepatitis, Drug-Induced	C1262760	MMP2	4313	1	1
Hepatitis, Drug-Induced	C1262760	MMP10	4319	0	1
Hepatitis, Drug-Induced	C1262760	MMP13	4322	0	1
Hepatitis, Drug-Induced	C1262760	ABCC1	4363	1	1
Hepatitis, Drug-Induced	C1262760	MST1R	4486	1	1
Hepatitis, Drug-Induced	C1262760	MTHFR	4524	1	1
Hepatitis, Drug-Induced	C1262760	NFE2L2	4780	1	1
Hepatitis, Drug-Induced	C1262760	PNP	4860	1	1
Hepatitis, Drug-Induced	C1262760	OSM	5008	0	1
Hepatitis, Drug-Induced	C1262760	PCOLCE	5118	1	1
Hepatitis, Drug-Induced	C1262760	PCYT1A	5130	1	1
Hepatitis, Drug-Induced	C1262760	PDE1A	5136	0	1
Hepatitis, Drug-Induced	C1262760	PDK4	5166	1	1
Hepatitis, Drug-Induced	C1262760	ABCB1	5243	1	1
Hepatitis, Drug-Induced	C1262760	SERPINI1	5274	0	1
Hepatitis, Drug-Induced	C1262760	PLAT	5327	1	1
Hepatitis, Drug-Induced	C1262760	PLG	5340	1	1
Hepatitis, Drug-Induced	C1262760	PLTP	5360	0	1
Hepatitis, Drug-Induced	C1262760	POLG	5428	1	0
Hepatitis, Drug-Induced	C1262760	PON1	5444	1	0
Hepatitis, Drug-Induced	C1262760	PPARA	5465	1	1
Hepatitis, Drug-Induced	C1262760	MED1	5469	1	1
Hepatitis, Drug-Induced	C1262760	PPP3R1	5534	0	1
Hepatitis, Drug-Induced	C1262760	PRKDC	5591	1	1
Hepatitis, Drug-Induced	C1262760	PSKH1	5681	0	1
Hepatitis, Drug-Induced	C1262760	PYY	5697	0	1
Hepatitis, Drug-Induced	C1262760	PTGS2	5743	1	1
Hepatitis, Drug-Induced	C1262760	PZP	5858	1	0
Hepatitis, Drug-Induced	C1262760	RBP1	5947	1	1
Hepatitis, Drug-Induced	C1262760	S100A11	6282	1	1
Hepatitis, Drug-Induced	C1262760	CCL1	6346	0	1
Hepatitis, Drug-Induced	C1262760	CCL2	6347	1	1
Hepatitis, Drug-Induced	C1262760	CCL4	6351	0	1
Hepatitis, Drug-Induced	C1262760	CCL7	6354	0	1
Hepatitis, Drug-Induced	C1262760	CCL8	6355	0	1
Hepatitis, Drug-Induced	C1262760	CCL13	6357	0	1
Hepatitis, Drug-Induced	C1262760	CCL16	6360	0	1
Hepatitis, Drug-Induced	C1262760	CCL17	6361	0	1
Hepatitis, Drug-Induced	C1262760	CCL19	6363	0	1
Hepatitis, Drug-Induced	C1262760	CCL20	6364	0	1
Hepatitis, Drug-Induced	C1262760	CCL22	6367	0	1
Hepatitis, Drug-Induced	C1262760	CCL25	6370	0	1
Hepatitis, Drug-Induced	C1262760	CXCL6	6372	0	1
Hepatitis, Drug-Induced	C1262760	SECTM1	6398	0	1
Hepatitis, Drug-Induced	C1262760	SIM1	6492	0	1
Hepatitis, Drug-Induced	C1262760	SIM2	6493	0	1
Hepatitis, Drug-Induced	C1262760	SLPI	6590	1	1
Hepatitis, Drug-Induced	C1262760	SOD1	6647	1	1
Hepatitis, Drug-Induced	C1262760	SOD2	6648	1	1
Hepatitis, Drug-Induced	C1262760	SOD3	6649	1	1
Hepatitis, Drug-Induced	C1262760	SORD	6652	1	1
Hepatitis, Drug-Induced	C1262760	SORL1	6653	1	1
Hepatitis, Drug-Induced	C1262760	SPP1	6696	1	1
Hepatitis, Drug-Induced	C1262760	SRP72	6731	1	1
Hepatitis, Drug-Induced	C1262760	SULT1E1	6783	1	1
Hepatitis, Drug-Induced	C1262760	SULT2B1	6820	1	1
Hepatitis, Drug-Induced	C1262760	TALDO1	6888	1	1
Hepatitis, Drug-Induced	C1262760	TBXA2R	6915	1	1
Hepatitis, Drug-Induced	C1262760	TF	7018	1	1
Hepatitis, Drug-Induced	C1262760	TGFB3	7043	0	1
Hepatitis, Drug-Induced	C1262760	TGFBR1	7046	1	1
Hepatitis, Drug-Induced	C1262760	THBS2	7058	0	1
Hepatitis, Drug-Induced	C1262760	TIMP2	7077	0	1
Hepatitis, Drug-Induced	C1262760	TNF	7124	1	1
Hepatitis, Drug-Induced	C1262760	TRPC4	7223	0	1
Hepatitis, Drug-Induced	C1262760	TTR	7276	1	1
Hepatitis, Drug-Induced	C1262760	COL14A1	7373	1	1
Hepatitis, Drug-Induced	C1262760	VIM	7431	1	1
Hepatitis, Drug-Induced	C1262760	VWF	7450	1	1
Hepatitis, Drug-Induced	C1262760	IL1R2	7850	1	0
Hepatitis, Drug-Induced	C1262760	REEP5	7905	1	1
Hepatitis, Drug-Induced	C1262760	TAGLN2	8407	1	1
Hepatitis, Drug-Induced	C1262760	DGAT1	8694	0	1
Hepatitis, Drug-Induced	C1262760	PEX11A	8800	1	1
Hepatitis, Drug-Induced	C1262760	IL18RAP	8807	0	1
Hepatitis, Drug-Induced	C1262760	IL18R1	8809	0	1
Hepatitis, Drug-Induced	C1262760	GGH	8836	1	1
Hepatitis, Drug-Induced	C1262760	NR1I2	8856	1	1
Hepatitis, Drug-Induced	C1262760	CHRNA6	8973	0	1
Hepatitis, Drug-Induced	C1262760	WASL	8976	1	1
Hepatitis, Drug-Induced	C1262760	SELENBP1	8991	1	1
Hepatitis, Drug-Induced	C1262760	F2RL3	9002	1	0
Hepatitis, Drug-Induced	C1262760	RGN	9104	1	1
Hepatitis, Drug-Induced	C1262760	AIFM1	9131	1	1
Hepatitis, Drug-Induced	C1262760	FCMR	9214	1	1
Hepatitis, Drug-Induced	C1262760	LRAT	9227	1	0
Hepatitis, Drug-Induced	C1262760	NREP	9315	1	1
Hepatitis, Drug-Induced	C1262760	ADIPOQ	9370	1	1
Hepatitis, Drug-Induced	C1262760	SLC22A8	9376	1	0
Hepatitis, Drug-Induced	C1262760	FADS2	9415	1	1
Hepatitis, Drug-Induced	C1262760	ATG5	9474	1	1
Hepatitis, Drug-Induced	C1262760	EDEM1	9695	1	1
Hepatitis, Drug-Induced	C1262760	PAN2	9924	1	1
Hepatitis, Drug-Induced	C1262760	NR1I3	9970	1	1
Hepatitis, Drug-Induced	C1262760	NR1H4	9971	1	1
Hepatitis, Drug-Induced	C1262760	NR1H3	10062	1	1
Hepatitis, Drug-Induced	C1262760	RAMP2	10266	0	1
Hepatitis, Drug-Induced	C1262760	PEMT	10400	0	1
Hepatitis, Drug-Induced	C1262760	COLEC10	10584	0	1
Hepatitis, Drug-Induced	C1262760	ABCA5	23461	0	1
Hepatitis, Drug-Induced	C1262760	IL17RA	23765	0	1
Hepatitis, Drug-Induced	C1262760	SLC13A4	26266	1	0
Hepatitis, Drug-Induced	C1262760	HAVCR1	26762	1	1
Hepatitis, Drug-Induced	C1262760	CACNG4	27092	0	1
Hepatitis, Drug-Induced	C1262760	EIF2AK1	27102	1	1
Hepatitis, Drug-Induced	C1262760	IL37	27178	0	1
Hepatitis, Drug-Induced	C1262760	SULT1B1	27284	0	1
Hepatitis, Drug-Induced	C1262760	KCNIP2	30819	0	1
Hepatitis, Drug-Induced	C1262760	KCNIP1	30820	0	1
Hepatitis, Drug-Induced	C1262760	NOX4	50507	1	1
Hepatitis, Drug-Induced	C1262760	IL22	50616	1	0
Hepatitis, Drug-Induced	C1262760	TMED7	51014	1	1
Hepatitis, Drug-Induced	C1262760	HAO2	51179	1	0
Hepatitis, Drug-Induced	C1262760	C1RL	51279	0	1
Hepatitis, Drug-Induced	C1262760	ATP6V1D	51382	1	1
Hepatitis, Drug-Induced	C1262760	ACKR4	51554	0	1
Hepatitis, Drug-Induced	C1262760	DHRS7	51635	1	1
Hepatitis, Drug-Induced	C1262760	SPIN2A	54466	1	0
Hepatitis, Drug-Induced	C1262760	TMEM260	54916	0	1
Hepatitis, Drug-Induced	C1262760	TMEM38B	55151	1	1
Hepatitis, Drug-Induced	C1262760	ABHD10	55347	0	1
Hepatitis, Drug-Induced	C1262760	ECHDC1	55862	1	1
Hepatitis, Drug-Induced	C1262760	PDGFC	56034	0	1
Hepatitis, Drug-Induced	C1262760	DNAJC12	56521	1	1
Hepatitis, Drug-Induced	C1262760	BDH2	56898	0	1
Hepatitis, Drug-Induced	C1262760	EPPIN	57119	0	1
Hepatitis, Drug-Induced	C1262760	BCAN	63827	0	1
Hepatitis, Drug-Induced	C1262760	ERAP2	64167	0	1
Hepatitis, Drug-Induced	C1262760	TMEM168	64418	0	1
Hepatitis, Drug-Induced	C1262760	UPF3A	65110	0	1
Hepatitis, Drug-Induced	C1262760	CYP4F12	66002	0	1
Hepatitis, Drug-Induced	C1262760	TTC13	79573	0	1
Hepatitis, Drug-Induced	C1262760	TCTN1	79600	1	1
Hepatitis, Drug-Induced	C1262760	UBA5	79876	1	1
Hepatitis, Drug-Induced	C1262760	UNC93B1	81622	1	1
Hepatitis, Drug-Induced	C1262760	MAP1LC3B	81631	1	1
Hepatitis, Drug-Induced	C1262760	TMEM164	84187	1	0
Hepatitis, Drug-Induced	C1262760	LLPH	84298	0	1
Hepatitis, Drug-Induced	C1262760	CADPS2	93664	1	1
Hepatitis, Drug-Induced	C1262760	SGF29	112869	1	1
Hepatitis, Drug-Induced	C1262760	CCR2	729230	1	1
Hyperammonemia	C0220994	ACACB	32	0	1
Hyperammonemia	C0220994	ACADL	33	1	0
Hyperammonemia	C0220994	ACADM	34	1	1
Hyperammonemia	C0220994	ACADS	35	1	1
Hyperammonemia	C0220994	ACADVL	37	1	1
Hyperammonemia	C0220994	AGA	175	1	0
Hyperammonemia	C0220994	AGL	178	1	1
Hyperammonemia	C0220994	ARG1	383	1	1
Hyperammonemia	C0220994	ARSA	410	1	1
Hyperammonemia	C0220994	ARSB	411	1	0
Hyperammonemia	C0220994	ASGR2	433	0	1
Hyperammonemia	C0220994	ASL	435	1	1
Hyperammonemia	C0220994	ASS1	445	1	1
Hyperammonemia	C0220994	AUH	549	1	1
Hyperammonemia	C0220994	BCKDHA	593	1	0
Hyperammonemia	C0220994	BCKDHB	594	1	0
Hyperammonemia	C0220994	CA5A	763	1	0
Hyperammonemia	C0220994	CACNA1S	779	0	1
Hyperammonemia	C0220994	SLC25A20	788	1	1
Hyperammonemia	C0220994	CCKBR	887	0	1
Hyperammonemia	C0220994	CD9	928	0	1
Hyperammonemia	C0220994	TPP1	1200	1	1
Hyperammonemia	C0220994	CLN3	1201	1	1
Hyperammonemia	C0220994	CLN5	1203	1	0
Hyperammonemia	C0220994	COL2A1	1280	0	1
Hyperammonemia	C0220994	COL4A6	1288	0	1
Hyperammonemia	C0220994	CPS1	1373	1	1
Hyperammonemia	C0220994	CPT1A	1374	1	1
Hyperammonemia	C0220994	CPT2	1376	1	1
Hyperammonemia	C0220994	CYP3A5	1577	0	1
Hyperammonemia	C0220994	CYP27A1	1593	1	1
Hyperammonemia	C0220994	DBT	1629	1	1
Hyperammonemia	C0220994	DLD	1738	1	1
Hyperammonemia	C0220994	ENO3	2027	1	1
Hyperammonemia	C0220994	EPHB3	2049	0	1
Hyperammonemia	C0220994	CLN8	2055	1	1
Hyperammonemia	C0220994	ETFA	2108	1	1
Hyperammonemia	C0220994	ETFB	2109	1	1
Hyperammonemia	C0220994	ETFDH	2110	1	1
Hyperammonemia	C0220994	SLC37A4	2542	1	1
Hyperammonemia	C0220994	GAA	2548	1	1
Hyperammonemia	C0220994	GALC	2581	1	0
Hyperammonemia	C0220994	GALNS	2588	1	1
Hyperammonemia	C0220994	GBE1	2632	1	1
Hyperammonemia	C0220994	GCK	2645	0	1
Hyperammonemia	C0220994	GGT1	2678	0	1
Hyperammonemia	C0220994	GLA	2717	1	1
Hyperammonemia	C0220994	GLB1	2720	1	1
Hyperammonemia	C0220994	GCLC	2729	0	1
Hyperammonemia	C0220994	GLUD1	2746	1	1
Hyperammonemia	C0220994	GM2A	2760	1	1
Hyperammonemia	C0220994	GPM6B	2824	0	1
Hyperammonemia	C0220994	GUCY2C	2984	0	1
Hyperammonemia	C0220994	GYG1	2992	0	1
Hyperammonemia	C0220994	GYS1	2997	1	1
Hyperammonemia	C0220994	GYS2	2998	1	1
Hyperammonemia	C0220994	HADHA	3030	1	1
Hyperammonemia	C0220994	HADHB	3032	1	1
Hyperammonemia	C0220994	HCCS	3052	0	1
Hyperammonemia	C0220994	HLCS	3141	1	1
Hyperammonemia	C0220994	HMGCL	3155	1	1
Hyperammonemia	C0220994	HMGCS2	3158	1	1
Hyperammonemia	C0220994	HYAL1	3373	1	1
Hyperammonemia	C0220994	IDS	3423	1	0
Hyperammonemia	C0220994	IDUA	3425	1	1
Hyperammonemia	C0220994	IVD	3712	1	1
Hyperammonemia	C0220994	KHK	3795	0	1
Hyperammonemia	C0220994	LIPA	3988	1	0
Hyperammonemia	C0220994	LSAMP	4045	0	1
Hyperammonemia	C0220994	MAN2B1	4125	1	1
Hyperammonemia	C0220994	MANBA	4126	1	0
Hyperammonemia	C0220994	MTR	4548	1	1
Hyperammonemia	C0220994	MTRR	4552	1	1
Hyperammonemia	C0220994	NAGA	4668	1	1
Hyperammonemia	C0220994	NAGLU	4669	1	1
Hyperammonemia	C0220994	NDUFB2	4708	0	1
Hyperammonemia	C0220994	NEU1	4758	1	1
Hyperammonemia	C0220994	NPC1	4864	1	1
Hyperammonemia	C0220994	OAT	4942	1	1
Hyperammonemia	C0220994	OTC	5009	1	0
Hyperammonemia	C0220994	OVGP1	5016	0	1
Hyperammonemia	C0220994	PCCA	5095	1	1
Hyperammonemia	C0220994	PCCB	5096	1	1
Hyperammonemia	C0220994	PFKM	5213	1	1
Hyperammonemia	C0220994	POLG	5428	1	0
Hyperammonemia	C0220994	PPT1	5538	1	1
Hyperammonemia	C0220994	PSKH1	5681	0	1
Hyperammonemia	C0220994	ALDH18A1	5832	1	1
Hyperammonemia	C0220994	PYGL	5836	1	1
Hyperammonemia	C0220994	PYGM	5837	1	1
Hyperammonemia	C0220994	SGSH	6448	1	1
Hyperammonemia	C0220994	SLC15A1	6564	0	1
Hyperammonemia	C0220994	SLC15A2	6565	0	1
Hyperammonemia	C0220994	SLCO1A2	6579	0	1
Hyperammonemia	C0220994	SLC22A3	6581	0	1
Hyperammonemia	C0220994	SLC22A4	6583	0	1
Hyperammonemia	C0220994	SLC22A5	6584	1	1
Hyperammonemia	C0220994	SMPD1	6609	1	1
Hyperammonemia	C0220994	TAZ	6901	1	1
Hyperammonemia	C0220994	TYMS	7298	1	1
Hyperammonemia	C0220994	SUCLG1	8802	1	1
Hyperammonemia	C0220994	GYG2	8908	0	1
Hyperammonemia	C0220994	SLC7A7	9056	1	1
Hyperammonemia	C0220994	AASS	10157	0	1
Hyperammonemia	C0220994	SLC25A13	10165	1	1
Hyperammonemia	C0220994	SLC25A15	10166	1	0
Hyperammonemia	C0220994	TMEM147	10430	0	1
Hyperammonemia	C0220994	NPC2	10577	1	1
Hyperammonemia	C0220994	LPIN1	23175	1	1
Hyperammonemia	C0220994	MLYCD	23417	1	0
Hyperammonemia	C0220994	MMACHC	25974	1	1
Hyperammonemia	C0220994	DNM3	26052	0	1
Hyperammonemia	C0220994	SLC17A5	26503	1	0
Hyperammonemia	C0220994	ST6GALNAC4	27090	0	1
Hyperammonemia	C0220994	MMADHC	27249	0	1
Hyperammonemia	C0220994	RBMXL2	27288	0	1
Hyperammonemia	C0220994	SLCO3A1	28232	0	1
Hyperammonemia	C0220994	SCCPDH	51097	0	1
Hyperammonemia	C0220994	CD320	51293	1	1
Hyperammonemia	C0220994	SLCO1C1	53919	0	1
